id,journal_text,ambience_type,duration_min,sleep_hours,energy_level,stress_level,time_of_day,previous_day_mood,face_emotion_hint,reflection_quality,emotional_state,intensity,word_count,quality_weight
1,The ocean ambience helped me stop drifting and concentrate on my next steps. My to-do list feels less chaotic.,ocean,12,6.5,4.0,2.0,afternoon,mixed,calm_face,clear,focused,3,19,3.0
2,I tried to relax during the forest ambience yet my thoughts kept racing. I still feel a low buzz in my body.,forest,35,6.0,2.0,4.0,evening,calm,tired_face,vague,restless,3,22,3.0
3,The forest session slowed my thoughts and I feel more settled now.,forest,3,2.0,1.0,,night,overwhelmed,happy_face,clear,calm,3,12,3.0
4,the mountain ambience was pleasant though i can't say it shifted my mood much. idk.,mountain,25,7.0,4.0,4.0,night,focused,calm_face,vague,neutral,1,15,3.0
5,The rain session gave me a pause but the pressure is still sitting hard on me.,rain,25,5.0,3.0,5.0,afternoon,,tense_face,clear,overwhelmed,5,16,3.0
6,after the forest track i feel peaceful and less pulled in every direction.,forest,12,8.0,3.0,2.0,morning,mixed,calm_face,vague,calm,3,13,3.0
7,Nothing strong came up during the rain session; I feel fairly normal.,rain,20,6.5,2.0,4.0,morning,calm,neutral_face,conflicted,neutral,1,12,3.0
8,even with the mountain session my mind kept jumping between tasks.,mountain,12,6.0,3.0,4.0,morning,neutral,tense_face,clear,restless,4,11,2.0
9,I couldn't really settle into the cafe track; I kept thinking of everything at once.,cafe,8,5.5,3.0,4.0,morning,mixed,neutral_face,vague,restless,4,15,3.0
10,The mountain ambience helped me stop drifting and concentrate on my next steps.,mountain,15,7.0,4.0,2.0,morning,overwhelmed,calm_face,conflicted,focused,3,13,3.0
11,The rain sounds were nice but I still feel unsettled and fidgety.,rain,12,6.5,3.0,3.0,afternoon,mixed,,conflicted,restless,4,12,3.0
12,I feel mentally clear after the mountain session and ready to tackle one thing at a time.,mountain,12,5.5,3.0,2.0,morning,restless,neutral_face,clear,focused,4,17,3.0
13,The forest session made me calmer but part of me still feels uneasy.,forest,20,5.0,2.0,2.0,afternoon,neutral,,conflicted,mixed,2,13,3.0
14,The cafe session helped a little though I still feel pulled in too many directions.,cafe,12,6.0,3.0,5.0,morning,mixed,,clear,restless,4,15,3.0
15,I feel lighter after the mountain sounds like my mind finally softened.,mountain,8,8.0,3.0,3.0,night,overwhelmed,calm_face,clear,calm,2,12,3.0
16,I came in distracted but I left the forest session with a sharper mind.,forest,15,3.0,1.0,,morning,neutral,neutral_face,vague,focused,2,14,3.0
17,The forest session made me calmer but part of me still feels uneasy. I feel better and not better at the same time.,forest,35,6.0,2.0,3.0,night,,calm_face,vague,mixed,3,23,3.0
